row_id,cluster_label
0,-1
1,0
2,-1
3,-1
4,-1
5,0
6,-1
7,-1
8,-1
9,-1
10,-1
11,-1
12,-1
13,-1
14,1
15,-1
16,-1
17,-1
18,-1
19,-1
20,0
21,-1
22,-1
23,0
24,-1
25,-1
26,-1
27,-1
28,-1
29,1
30,-1
31,-1
32,-1
33,-1
34,-1
35,-1
36,-1
37,-1
38,-1
39,-1
40,-1
41,-1
42,-1
43,-1
44,0
45,-1
46,-1
47,-1
48,-1
49,-1
50,-1
51,0
52,-1
53,1
54,-1
55,-1
56,-1
57,-1
58,-1
59,-1
60,-1
61,0
62,-1
63,-1
64,2
65,-1
66,-1
67,-1
68,-1
69,2
70,-1
71,-1
72,-1
73,-1
74,-1
75,-1
76,-1
77,0
78,-1
79,2
80,-1
81,-1
82,2
83,-1
84,-1
85,-1
86,0
87,-1
88,-1
89,-1
90,-1
91,-1
92,-1
93,-1
94,-1
95,-1
96,-1
97,0
98,-1
99,2
100,-1
101,2
102,-1
103,1
104,-1
105,1
106,-1
107,2
108,-1
109,1
110,-1
111,-1
112,-1
113,-1
114,-1
115,-1
116,-1
117,-1
118,1
119,-1
120,2
121,1
122,-1
123,2
124,-1
125,2
126,-1
127,-1
128,1
129,-1
130,1
131,-1
132,-1
133,-1
134,-1
135,-1
136,-1
137,-1
138,1
139,-1
140,-1
141,-1
142,-1
143,-1
144,-1
145,0
146,-1
147,-1
148,-1
149,-1
150,-1
151,-1
152,-1
153,1
154,1
155,-1
156,-1
157,-1
158,-1
159,-1
160,-1
161,-1
162,1
163,-1
164,2
165,-1
166,-1
167,-1
168,-1
169,-1
170,-1
171,-1
172,-1
173,-1
174,-1
175,-1
176,-1
177,4
178,-1
179,-1
180,-1
181,1
182,-1
183,-1
184,-1
185,1
186,-1
187,-1
188,-1
189,-1
190,-1
191,-1
192,0
193,-1
194,-1
195,1
196,-1
197,-1
198,-1
199,-1
200,3
201,-1
202,-1
203,-1
204,-1
205,-1
206,-1
207,-1
208,0
209,-1
210,0
211,1
212,-1
213,-1
214,-1
215,-1
216,-1
217,-1
218,1
219,-1
220,-1
221,1
222,-1
223,-1
224,-1
225,-1
226,-1
227,2
228,0
229,-1
230,1
231,-1
232,-1
233,-1
234,-1
235,0
236,-1
237,-1
238,1
239,3
240,0
241,-1
242,-1
243,-1
244,-1
245,3
246,-1
247,-1
248,-1
249,3
250,-1
251,3
252,3
253,-1
254,-1
255,3
256,4
257,-1
258,3
259,3
260,-1
261,-1
262,-1
263,3
264,-1
265,-1
266,3
267,3
268,3
269,-1
270,4
271,3
272,-1
273,-1
274,4
275,-1
276,-1
277,-1
278,-1
279,-1
280,-1
281,3
282,-1
283,0
284,-1
285,-1
286,-1
287,0
288,-1
289,-1
290,3
291,-1
292,-1
293,3
294,-1
295,4
296,1
297,3
298,-1
299,3
300,3
301,-1
302,-1
303,-1
304,3
305,-1
306,3
307,3
308,-1
309,3
310,-1
311,3
312,3
313,-1
314,-1
315,-1
316,3
317,-1
318,3
319,-1
320,3
321,-1
322,1
323,2
324,0
325,-1
326,1
327,-1
328,-1
329,-1
330,-1
331,-1
332,-1
333,-1
334,2
335,-1
336,-1
337,-1
338,-1
339,-1
340,-1
341,-1
342,-1
343,-1
344,-1
345,1
346,4
347,-1
348,-1
349,-1
350,-1
351,1
352,-1
353,-1
354,-1
355,1
356,-1
357,-1
358,-1
359,-1
360,-1
361,-1
362,0
363,-1
364,-1
365,-1
366,1
367,-1
368,-1
369,-1
370,-1
371,-1
372,-1
373,1
374,2
375,4
376,-1
377,-1
378,1
379,-1
380,1
381,1
382,-1
383,-1
384,-1
385,-1
386,-1
387,-1
388,1
389,-1
390,-1
391,1
392,-1
393,-1
394,-1
395,4
396,-1
397,-1
398,-1
399,-1
400,-1
401,4
402,4
403,1
404,-1
405,-1
406,-1
407,-1
408,-1
409,-1
410,-1
411,-1
412,1
413,-1
414,-1
415,-1
416,-1
417,1
418,-1
419,-1
420,4
421,4
422,4
423,4
424,-1
425,4
426,-1
427,4
428,4
429,4
430,4
431,4
432,4
433,-1
434,4
435,4
436,-1
437,4
438,4
439,4
440,4
441,4
442,4
443,4
444,4
445,4
446,4
447,4
448,4
449,4
450,4
451,4
452,4
453,4
454,4
455,4
456,4
457,-1
458,4
459,-1
460,4
461,4
462,4
463,4
464,4
465,4
466,-1
467,4
468,4
469,-1
470,4
471,4
472,4
473,4
474,4
475,4
476,4
477,4
478,4
479,4
480,4
481,4
482,-1
483,4
484,4
485,4
486,4
487,4
488,4
489,4
490,-1
491,4
492,4
493,4
494,4
495,4
496,4
497,4
498,4
499,4
500,4
501,4
502,-1
503,4
504,4
505,4
506,4
507,4
508,4
509,-1
510,4
511,4
512,-1
513,4
514,4
515,4
516,-1
517,4
518,4
519,4
520,4
521,4
522,4
523,-1
524,-1
525,4
526,4
527,4
528,4
529,4
