row_id,cluster_label
0,-1
1,-1
2,-1
3,1
4,-1
5,-1
6,-1
7,1
8,-1
9,-1
10,-1
11,-1
12,-1
13,-1
14,2
15,-1
16,2
17,-1
18,-1
19,1
20,-1
21,-1
22,-1
23,-1
24,-1
25,-1
26,-1
27,1
28,-1
29,2
30,1
31,-1
32,-1
33,-1
34,1
35,3
36,-1
37,1
38,3
39,-1
40,-1
41,-1
42,-1
43,-1
44,-1
45,1
46,-1
47,-1
48,1
49,-1
50,-1
51,-1
52,1
53,2
54,-1
55,1
56,2
57,-1
58,-1
59,-1
60,3
61,-1
62,-1
63,-1
64,-1
65,2
66,-1
67,-1
68,-1
69,2
70,3
71,1
72,-1
73,-1
74,-1
75,1
76,-1
77,-1
78,-1
79,-1
80,-1
81,-1
82,-1
83,-1
84,1
85,-1
86,-1
87,3
88,-1
89,-1
90,-1
91,-1
92,-1
93,1
94,-1
95,-1
96,-1
97,-1
98,-1
99,-1
100,-1
101,-1
102,-1
103,2
104,1
105,2
106,-1
107,-1
108,-1
109,2
110,1
111,-1
112,-1
113,-1
114,-1
115,1
116,1
117,1
118,2
119,-1
120,-1
121,-1
122,-1
123,-1
124,3
125,-1
126,3
127,-1
128,2
129,-1
130,2
131,-1
132,3
133,2
134,-1
135,1
136,3
137,-1
138,2
139,-1
140,-1
141,-1
142,-1
143,-1
144,-1
145,-1
146,3
147,-1
148,-1
149,-1
150,-1
151,-1
152,-1
153,-1
154,2
155,-1
156,-1
157,2
158,-1
159,3
160,1
161,-1
162,2
163,1
164,-1
165,3
166,-1
167,-1
168,-1
169,-1
170,-1
171,1
172,-1
173,3
174,1
175,3
176,-1
177,-1
178,-1
179,1
180,-1
181,2
182,-1
183,1
184,-1
185,-1
186,-1
187,-1
188,-1
189,-1
190,3
191,-1
192,-1
193,-1
194,-1
195,2
196,-1
197,-1
198,-1
199,3
200,-1
201,1
202,-1
203,1
204,1
205,1
206,3
207,-1
208,-1
209,3
210,-1
211,2
212,-1
213,1
214,-1
215,2
216,-1
217,-1
218,2
219,2
220,1
221,2
222,-1
223,-1
224,-1
225,3
226,1
227,-1
228,-1
229,-1
230,2
231,-1
232,1
233,-1
234,-1
235,-1
236,3
237,-1
238,-1
239,0
240,-1
241,-1
242,-1
243,-1
244,-1
245,-1
246,-1
247,-1
248,-1
249,0
250,-1
251,0
252,0
253,-1
254,-1
255,0
256,-1
257,1
258,-1
259,0
260,-1
261,-1
262,-1
263,0
264,-1
265,-1
266,0
267,0
268,-1
269,-1
270,-1
271,0
272,-1
273,-1
274,-1
275,-1
276,-1
277,-1
278,1
279,-1
280,-1
281,0
282,-1
283,-1
284,-1
285,-1
286,0
287,-1
288,1
289,-1
290,0
291,-1
292,-1
293,0
294,-1
295,-1
296,-1
297,0
298,0
299,-1
300,0
301,1
302,-1
303,-1
304,0
305,-1
306,0
307,0
308,-1
309,0
310,-1
311,0
312,0
313,-1
314,-1
315,-1
316,0
317,-1
318,0
319,-1
320,0
321,1
322,2
323,-1
324,-1
325,-1
326,-1
327,1
328,1
329,1
330,-1
331,-1
332,-1
333,2
334,-1
335,1
336,3
337,3
338,-1
339,-1
340,-1
341,2
342,-1
343,-1
344,1
345,2
346,-1
347,3
348,3
349,-1
350,3
351,2
352,-1
353,-1
354,-1
355,2
356,-1
357,-1
358,-1
359,3
360,3
361,1
362,-1
363,-1
364,-1
365,-1
366,2
367,-1
368,-1
369,-1
370,-1
371,2
372,-1
373,2
374,-1
375,4
376,-1
377,2
378,2
379,-1
380,2
381,-1
382,-1
383,-1
384,-1
385,1
386,1
387,-1
388,2
389,-1
390,-1
391,-1
392,-1
393,-1
394,-1
395,-1
396,1
397,-1
398,-1
399,-1
400,3
401,-1
402,1
403,2
404,3
405,-1
406,-1
407,-1
408,-1
409,1
410,-1
411,-1
412,-1
413,2
414,-1
415,1
416,-1
417,2
418,2
419,-1
420,-1
421,4
422,4
423,4
424,-1
425,-1
426,-1
427,-1
428,4
429,-1
430,-1
431,-1
432,4
433,-1
434,4
435,-1
436,-1
437,4
438,-1
439,-1
440,-1
441,-1
442,-1
443,-1
444,-1
445,-1
446,-1
447,-1
448,4
449,4
450,-1
451,-1
452,-1
453,-1
454,4
455,-1
456,4
457,-1
458,-1
459,-1
460,-1
461,4
462,-1
463,-1
464,-1
465,-1
466,-1
467,4
468,-1
469,-1
470,4
471,-1
472,-1
473,-1
474,-1
475,-1
476,-1
477,-1
478,-1
479,-1
480,-1
481,-1
482,-1
483,-1
484,-1
485,-1
486,4
487,-1
488,-1
489,-1
490,-1
491,4
492,-1
493,4
494,-1
495,-1
496,-1
497,4
498,-1
499,-1
500,-1
501,-1
502,-1
503,-1
504,4
505,4
506,-1
507,-1
508,4
509,-1
510,4
511,-1
512,-1
513,-1
514,-1
515,-1
516,1
517,-1
518,-1
519,-1
520,4
521,-1
522,-1
523,-1
524,-1
525,-1
526,4
527,4
528,-1
529,-1
