row_id,cluster_label
0,4
1,2
2,0
3,2
4,0
5,2
6,0
7,4
8,0
9,2
10,4
11,0
12,0
13,4
14,0
15,0
16,2
17,4
18,4
19,0
20,2
21,0
22,4
23,4
24,2
25,0
26,0
27,4
28,4
29,0
30,4
31,0
32,2
33,0
34,4
35,2
36,4
37,2
38,0
39,2
40,4
41,2
42,4
43,2
44,4
45,0
46,2
47,0
48,4
49,0
50,4
51,2
52,0
53,2
54,0
55,4
56,4
57,4
58,2
59,2
60,2
61,2
62,2
63,0
64,0
65,2
66,0
67,0
68,0
69,0
70,0
71,2
72,0
73,0
74,0
75,4
76,0
77,2
78,0
79,0
80,4
81,0
82,0
83,2
84,2
85,2
86,2
87,0
88,0
89,0
90,4
91,4
92,2
93,2
94,2
95,2
96,0
97,4
98,0
99,0
100,2
101,0
102,2
103,2
104,2
105,2
106,0
107,0
108,4
109,0
110,4
111,4
112,2
113,0
114,0
115,2
116,4
117,0
118,2
119,0
120,0
121,2
122,4
123,0
124,0
125,0
126,0
127,2
128,4
129,4
130,0
131,4
132,2
133,4
134,2
135,4
136,0
137,4
138,2
139,4
140,2
141,4
142,0
143,2
144,4
145,4
146,0
147,2
148,0
149,4
150,0
151,0
152,0
153,0
154,0
155,0
156,2
157,4
158,0
159,0
160,4
161,0
162,2
163,2
164,0
165,0
166,2
167,2
168,0
169,0
170,0
171,4
172,0
173,2
174,2
175,0
176,0
177,0
178,2
179,2
180,0
181,4
182,0
183,4
184,0
185,2
186,2
187,4
188,0
189,0
190,2
191,4
192,2
193,0
194,4
195,0
196,4
197,0
198,4
199,2
200,3
201,2
202,4
203,4
204,0
205,0
206,2
207,4
208,4
209,2
210,4
211,4
212,4
213,4
214,4
215,0
216,0
217,0
218,2
219,4
220,0
221,0
222,4
223,4
224,0
225,0
226,2
227,0
228,2
229,0
230,0
231,0
232,2
233,2
234,2
235,2
236,0
237,0
238,4
239,3
240,4
241,4
242,4
243,3
244,3
245,3
246,3
247,3
248,3
249,3
250,3
251,3
252,3
253,3
254,3
255,3
256,3
257,4
258,3
259,3
260,4
261,3
262,3
263,3
264,3
265,3
266,3
267,3
268,3
269,3
270,1
271,3
272,3
273,4
274,3
275,3
276,4
277,3
278,3
279,3
280,3
281,3
282,2
283,3
284,0
285,3
286,3
287,3
288,3
289,3
290,3
291,3
292,3
293,3
294,3
295,1
296,4
297,3
298,3
299,3
300,3
301,4
302,3
303,4
304,3
305,3
306,3
307,3
308,3
309,3
310,3
311,3
312,3
313,3
314,3
315,3
316,3
317,3
318,3
319,3
320,3
321,2
322,2
323,0
324,2
325,2
326,4
327,2
328,4
329,2
330,2
331,4
332,4
333,2
334,0
335,2
336,0
337,0
338,0
339,2
340,0
341,0
342,0
343,0
344,2
345,2
346,0
347,0
348,0
349,0
350,0
351,2
352,0
353,2
354,2
355,2
356,0
357,0
358,2
359,2
360,2
361,2
362,4
363,0
364,0
365,0
366,2
367,0
368,2
369,4
370,0
371,2
372,2
373,2
374,2
375,1
376,2
377,4
378,0
379,0
380,2
381,4
382,2
383,0
384,2
385,4
386,0
387,0
388,0
389,0
390,4
391,0
392,4
393,0
394,4
395,1
396,2
397,0
398,0
399,0
400,0
401,1
402,0
403,2
404,2
405,2
406,0
407,4
408,4
409,2
410,2
411,2
412,0
413,0
414,2
415,2
416,4
417,0
418,0
419,4
420,1
421,1
422,1
423,1
424,1
425,1
426,3
427,1
428,1
429,1
430,1
431,1
432,1
433,1
434,1
435,1
436,1
437,1
438,1
439,1
440,1
441,1
442,1
443,1
444,1
445,1
446,1
447,1
448,1
449,1
450,1
451,1
452,1
453,1
454,1
455,1
456,1
457,1
458,1
459,3
460,1
461,1
462,1
463,1
464,1
465,1
466,1
467,1
468,1
469,1
470,1
471,1
472,1
473,1
474,1
475,1
476,1
477,1
478,1
479,1
480,1
481,1
482,1
483,1
484,1
485,1
486,1
487,1
488,1
489,1
490,3
491,1
492,1
493,1
494,1
495,1
496,1
497,1
498,1
499,1
500,1
501,1
502,1
503,1
504,1
505,1
506,1
507,1
508,1
509,1
510,1
511,1
512,1
513,1
514,3
515,1
516,1
517,1
518,1
519,1
520,1
521,1
522,1
523,1
524,1
525,1
526,1
527,1
528,1
529,1
