row_id,cluster_label
0,3
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,1
12,0
13,0
14,6
15,8
16,0
17,0
18,0
19,0
20,0
21,1
22,0
23,0
24,3
25,1
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,3
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,4
48,0
49,1
50,0
51,0
52,0
53,0
54,0
55,0
56,0
57,0
58,0
59,3
60,0
61,0
62,0
63,0
64,1
65,0
66,0
67,0
68,0
69,1
70,0
71,0
72,0
73,1
74,8
75,0
76,1
77,0
78,8
79,1
80,0
81,0
82,1
83,0
84,0
85,0
86,0
87,0
88,0
89,1
90,0
91,0
92,0
93,0
94,0
95,0
96,4
97,0
98,0
99,1
100,0
101,1
102,0
103,0
104,0
105,0
106,1
107,1
108,0
109,0
110,0
111,0
112,3
113,0
114,1
115,0
116,0
117,0
118,0
119,0
120,1
121,0
122,0
123,1
124,0
125,1
126,0
127,0
128,0
129,0
130,0
131,0
132,0
133,0
134,0
135,0
136,0
137,0
138,0
139,0
140,0
141,5
142,0
143,0
144,0
145,0
146,0
147,0
148,0
149,3
150,0
151,0
152,0
153,0
154,0
155,1
156,0
157,0
158,1
159,0
160,0
161,0
162,0
163,0
164,1
165,0
166,0
167,0
168,0
169,0
170,1
171,0
172,0
173,0
174,0
175,0
176,0
177,1
178,0
179,0
180,0
181,0
182,1
183,0
184,1
185,0
186,0
187,0
188,0
189,1
190,0
191,0
192,0
193,0
194,0
195,0
196,0
197,1
198,0
199,0
200,0
201,0
202,3
203,0
204,0
205,0
206,0
207,0
208,0
209,0
210,0
211,0
212,0
213,0
214,0
215,0
216,0
217,0
218,0
219,0
220,0
221,0
222,0
223,0
224,0
225,0
226,0
227,1
228,0
229,1
230,2
231,0
232,0
233,0
234,0
235,0
236,0
237,0
238,0
239,0
240,0
241,7
242,0
243,9
244,0
245,0
246,0
247,9
248,0
249,0
250,0
251,0
252,0
253,9
254,0
255,0
256,0
257,0
258,0
259,0
260,3
261,0
262,0
263,0
264,0
265,0
266,0
267,0
268,0
269,0
270,1
271,0
272,9
273,0
274,0
275,0
276,3
277,0
278,0
279,0
280,9
281,0
282,0
283,0
284,1
285,0
286,0
287,0
288,0
289,0
290,0
291,0
292,0
293,0
294,0
295,1
296,0
297,0
298,0
299,0
300,0
301,0
302,9
303,0
304,0
305,0
306,0
307,0
308,0
309,0
310,0
311,0
312,0
313,0
314,0
315,0
316,0
317,0
318,0
319,0
320,0
321,0
322,0
323,1
324,0
325,0
326,0
327,0
328,0
329,0
330,0
331,0
332,0
333,0
334,1
335,0
336,0
337,0
338,1
339,0
340,0
341,0
342,0
343,1
344,0
345,0
346,1
347,0
348,0
349,0
350,0
351,0
352,1
353,0
354,0
355,0
356,0
357,1
358,0
359,0
360,0
361,0
362,0
363,0
364,1
365,1
366,0
367,0
368,3
369,0
370,0
371,0
372,0
373,0
374,0
375,1
376,0
377,0
378,0
379,1
380,0
381,0
382,0
383,0
384,0
385,0
386,0
387,0
388,0
389,0
390,0
391,0
392,0
393,0
394,0
395,1
396,0
397,0
398,0
399,0
400,0
401,1
402,0
403,0
404,0
405,0
406,0
407,0
408,0
409,0
410,0
411,0
412,0
413,0
414,0
415,0
416,3
417,0
418,0
419,0
420,1
421,1
422,0
423,0
424,0
425,0
426,0
427,1
428,0
429,1
430,1
431,1
432,0
433,0
434,1
435,1
436,0
437,0
438,1
439,0
440,1
441,0
442,1
443,0
444,1
445,1
446,1
447,1
448,0
449,0
450,1
451,1
452,1
453,1
454,1
455,1
456,0
457,0
458,0
459,0
460,1
461,1
462,1
463,1
464,1
465,1
466,0
467,1
468,1
469,0
470,1
471,1
472,0
473,1
474,0
475,1
476,0
477,1
478,1
479,1
480,1
481,1
482,0
483,1
484,1
485,1
486,1
487,1
488,1
489,1
490,0
491,1
492,1
493,1
494,0
495,0
496,1
497,1
498,1
499,0
500,1
501,1
502,0
503,1
504,1
505,0
506,1
507,1
508,1
509,0
510,1
511,1
512,0
513,1
514,0
515,0
516,0
517,1
518,1
519,1
520,1
521,1
522,1
523,0
524,0
525,1
526,0
527,0
528,0
529,1
