row_id,cluster_label
0,2
1,2
2,2
3,2
4,2
5,2
6,2
7,2
8,2
9,3
10,2
11,2
12,2
13,1
14,2
15,2
16,2
17,1
18,2
19,2
20,2
21,2
22,2
23,2
24,2
25,2
26,3
27,2
28,1
29,2
30,2
31,2
32,1
33,2
34,2
35,2
36,2
37,2
38,2
39,2
40,2
41,2
42,2
43,2
44,2
45,2
46,1
47,2
48,2
49,-1
50,2
51,2
52,2
53,2
54,2
55,2
56,2
57,3
58,2
59,2
60,2
61,2
62,2
63,-1
64,2
65,2
66,2
67,2
68,2
69,2
70,2
71,2
72,2
73,2
74,2
75,2
76,2
77,2
78,2
79,2
80,1
81,2
82,2
83,1
84,2
85,2
86,2
87,2
88,2
89,2
90,2
91,2
92,1
93,2
94,1
95,2
96,2
97,2
98,-1
99,2
100,3
101,2
102,2
103,2
104,2
105,2
106,2
107,2
108,1
109,2
110,2
111,2
112,2
113,2
114,2
115,2
116,-1
117,2
118,2
119,2
120,2
121,2
122,-1
123,2
124,2
125,2
126,2
127,2
128,2
129,2
130,2
131,2
132,2
133,2
134,2
135,2
136,2
137,-1
138,2
139,2
140,3
141,2
142,2
143,2
144,-1
145,2
146,2
147,-1
148,2
149,2
150,2
151,2
152,-1
153,2
154,2
155,2
156,2
157,2
158,2
159,2
160,2
161,2
162,2
163,2
164,2
165,2
166,2
167,3
168,2
169,2
170,-1
171,2
172,2
173,2
174,2
175,2
176,2
177,2
178,2
179,2
180,2
181,2
182,-1
183,2
184,-1
185,2
186,1
187,1
188,2
189,2
190,2
191,-1
192,2
193,-1
194,2
195,2
196,-1
197,2
198,-1
199,2
200,2
201,2
202,2
203,2
204,2
205,2
206,2
207,1
208,2
209,2
210,2
211,2
212,2
213,2
214,-1
215,2
216,2
217,-1
218,2
219,2
220,2
221,2
222,1
223,-1
224,-1
225,2
226,2
227,2
228,2
229,2
230,2
231,2
232,2
233,2
234,3
235,2
236,2
237,-1
238,3
239,2
240,2
241,2
242,-1
243,-1
244,2
245,2
246,1
247,-1
248,2
249,2
250,-1
251,2
252,2
253,-1
254,2
255,2
256,2
257,2
258,2
259,2
260,2
261,2
262,1
263,2
264,-1
265,2
266,2
267,2
268,2
269,-1
270,-1
271,2
272,-1
273,-1
274,2
275,2
276,2
277,2
278,-1
279,2
280,-1
281,2
282,-1
283,2
284,2
285,2
286,2
287,2
288,-1
289,2
290,2
291,1
292,2
293,2
294,2
295,2
296,2
297,2
298,2
299,-1
300,2
301,2
302,-1
303,1
304,2
305,2
306,2
307,2
308,2
309,2
310,-1
311,2
312,2
313,2
314,-1
315,2
316,2
317,2
318,2
319,2
320,2
321,2
322,2
323,2
324,2
325,2
326,2
327,2
328,2
329,2
330,2
331,2
332,-1
333,2
334,2
335,2
336,2
337,2
338,2
339,2
340,-1
341,2
342,3
343,2
344,2
345,2
346,2
347,2
348,2
349,-1
350,2
351,2
352,2
353,-1
354,2
355,2
356,2
357,-1
358,2
359,2
360,2
361,2
362,2
363,2
364,-1
365,2
366,2
367,2
368,2
369,2
370,2
371,2
372,3
373,2
374,2
375,-1
376,3
377,1
378,2
379,2
380,2
381,2
382,2
383,2
384,2
385,2
386,2
387,-1
388,2
389,2
390,2
391,3
392,2
393,-1
394,2
395,2
396,2
397,2
398,2
399,-1
400,2
401,2
402,2
403,2
404,2
405,2
406,2
407,2
408,-1
409,2
410,3
411,2
412,3
413,2
414,1
415,2
416,2
417,2
418,2
419,2
420,2
421,2
422,2
423,2
424,3
425,2
426,-1
427,-1
428,2
429,2
430,2
431,0
432,2
433,-1
434,2
435,0
436,3
437,2
438,0
439,2
440,2
441,-1
442,0
443,2
444,0
445,2
446,0
447,-1
448,2
449,2
450,0
451,0
452,2
453,2
454,2
455,-1
456,0
457,3
458,2
459,-1
460,2
461,2
462,2
463,2
464,0
465,0
466,-1
467,2
468,0
469,3
470,2
471,0
472,2
473,2
474,-1
475,0
476,2
477,0
478,2
479,0
480,-1
481,-1
482,3
483,0
484,0
485,2
486,2
487,2
488,0
489,0
490,1
491,2
492,2
493,2
494,2
495,3
496,2
497,2
498,2
499,2
500,2
501,0
502,3
503,0
504,2
505,2
506,0
507,-1
508,2
509,3
510,2
511,2
512,3
513,0
514,2
515,-1
516,2
517,0
518,0
519,0
520,2
521,-1
522,0
523,-1
524,2
525,0
526,2
527,-1
528,2
529,-1
