row_id,cluster_label
0,-1
1,-1
2,-1
3,0
4,1
5,-1
6,-1
7,0
8,2
9,-1
10,-1
11,2
12,-1
13,-1
14,1
15,-1
16,-1
17,-1
18,-1
19,-1
20,-1
21,-1
22,-1
23,-1
24,-1
25,2
26,1
27,0
28,-1
29,1
30,0
31,-1
32,-1
33,-1
34,-1
35,-1
36,-1
37,0
38,2
39,-1
40,-1
41,-1
42,-1
43,-1
44,-1
45,2
46,-1
47,-1
48,-1
49,-1
50,-1
51,-1
52,0
53,1
54,-1
55,-1
56,-1
57,-1
58,-1
59,-1
60,-1
61,-1
62,2
63,-1
64,2
65,-1
66,-1
67,1
68,-1
69,2
70,2
71,0
72,-1
73,-1
74,-1
75,0
76,2
77,-1
78,-1
79,2
80,-1
81,2
82,2
83,-1
84,0
85,-1
86,-1
87,2
88,2
89,-1
90,-1
91,0
92,-1
93,0
94,-1
95,0
96,2
97,-1
98,-1
99,2
100,0
101,2
102,1
103,1
104,0
105,1
106,-1
107,2
108,-1
109,1
110,0
111,-1
112,-1
113,-1
114,2
115,0
116,-1
117,0
118,1
119,-1
120,2
121,1
122,-1
123,2
124,-1
125,2
126,-1
127,-1
128,1
129,-1
130,1
131,-1
132,-1
133,-1
134,1
135,0
136,-1
137,0
138,1
139,-1
140,-1
141,-1
142,2
143,1
144,-1
145,-1
146,2
147,-1
148,-1
149,-1
150,-1
151,1
152,0
153,1
154,1
155,2
156,-1
157,1
158,-1
159,2
160,-1
161,-1
162,1
163,0
164,2
165,2
166,0
167,0
168,1
169,2
170,-1
171,-1
172,-1
173,2
174,0
175,2
176,-1
177,-1
178,-1
179,0
180,1
181,1
182,-1
183,0
184,-1
185,1
186,-1
187,-1
188,2
189,-1
190,-1
191,-1
192,1
193,-1
194,0
195,1
196,-1
197,2
198,0
199,2
200,-1
201,0
202,-1
203,0
204,2
205,1
206,-1
207,-1
208,-1
209,-1
210,-1
211,1
212,-1
213,-1
214,-1
215,2
216,-1
217,-1
218,1
219,-1
220,1
221,1
222,-1
223,-1
224,-1
225,-1
226,0
227,2
228,-1
229,-1
230,1
231,-1
232,0
233,1
234,-1
235,-1
236,2
237,-1
238,0
239,-1
240,-1
241,-1
242,-1
243,-1
244,-1
245,-1
246,-1
247,-1
248,-1
249,-1
250,-1
251,-1
252,-1
253,-1
254,0
255,-1
256,-1
257,0
258,-1
259,-1
260,-1
261,-1
262,-1
263,-1
264,-1
265,2
266,-1
267,-1
268,-1
269,-1
270,-1
271,-1
272,-1
273,-1
274,-1
275,-1
276,-1
277,-1
278,-1
279,-1
280,-1
281,-1
282,-1
283,-1
284,2
285,-1
286,-1
287,-1
288,0
289,-1
290,-1
291,-1
292,-1
293,-1
294,-1
295,-1
296,-1
297,-1
298,-1
299,-1
300,-1
301,0
302,-1
303,-1
304,-1
305,-1
306,-1
307,-1
308,-1
309,-1
310,0
311,-1
312,-1
313,-1
314,0
315,-1
316,-1
317,-1
318,-1
319,-1
320,-1
321,0
322,1
323,2
324,-1
325,-1
326,-1
327,0
328,-1
329,0
330,0
331,-1
332,-1
333,1
334,2
335,0
336,2
337,2
338,2
339,1
340,-1
341,2
342,-1
343,2
344,0
345,1
346,-1
347,2
348,2
349,-1
350,2
351,1
352,2
353,0
354,0
355,1
356,2
357,-1
358,-1
359,-1
360,-1
361,-1
362,-1
363,-1
364,-1
365,2
366,1
367,-1
368,-1
369,-1
370,-1
371,-1
372,0
373,1
374,2
375,-1
376,0
377,-1
378,1
379,-1
380,1
381,1
382,-1
383,-1
384,-1
385,-1
386,0
387,1
388,1
389,2
390,-1
391,0
392,1
393,0
394,-1
395,-1
396,0
397,-1
398,-1
399,-1
400,2
401,-1
402,1
403,1
404,-1
405,-1
406,-1
407,-1
408,-1
409,-1
410,-1
411,1
412,0
413,-1
414,-1
415,0
416,-1
417,1
418,2
419,-1
420,-1
421,-1
422,-1
423,-1
424,-1
425,-1
426,-1
427,-1
428,-1
429,-1
430,-1
431,-1
432,-1
433,-1
434,-1
435,-1
436,-1
437,-1
438,-1
439,-1
440,-1
441,-1
442,-1
443,-1
444,-1
445,-1
446,-1
447,-1
448,-1
449,-1
450,-1
451,-1
452,-1
453,-1
454,-1
455,-1
456,-1
457,-1
458,-1
459,-1
460,-1
461,-1
462,-1
463,-1
464,-1
465,-1
466,-1
467,-1
468,-1
469,-1
470,-1
471,-1
472,-1
473,-1
474,-1
475,-1
476,-1
477,-1
478,-1
479,-1
480,-1
481,-1
482,-1
483,-1
484,-1
485,-1
486,-1
487,-1
488,-1
489,-1
490,-1
491,-1
492,-1
493,-1
494,-1
495,-1
496,-1
497,-1
498,-1
499,-1
500,-1
501,-1
502,-1
503,-1
504,-1
505,-1
506,-1
507,-1
508,-1
509,0
510,-1
511,-1
512,-1
513,-1
514,-1
515,-1
516,0
517,-1
518,-1
519,-1
520,-1
521,-1
522,-1
523,-1
524,-1
525,-1
526,-1
527,-1
528,-1
529,-1
