row_id,cluster_label
0,1
1,1
2,0
3,1
4,1
5,1
6,0
7,1
8,1
9,0
10,1
11,0
12,1
13,0
14,0
15,1
16,1
17,0
18,1
19,1
20,1
21,0
22,1
23,1
24,1
25,0
26,1
27,1
28,0
29,1
30,1
31,0
32,0
33,1
34,0
35,1
36,1
37,0
38,1
39,1
40,1
41,0
42,1
43,1
44,1
45,1
46,0
47,0
48,0
49,0
50,0
51,1
52,1
53,1
54,0
55,1
56,0
57,0
58,1
59,1
60,1
61,1
62,1
63,0
64,1
65,0
66,0
67,0
68,1
69,1
70,1
71,1
72,0
73,1
74,1
75,1
76,1
77,1
78,1
79,0
80,0
81,1
82,1
83,0
84,1
85,1
86,1
87,1
88,1
89,0
90,1
91,1
92,0
93,1
94,0
95,1
96,0
97,1
98,0
99,0
100,0
101,1
102,1
103,1
104,1
105,1
106,0
107,1
108,0
109,1
110,1
111,1
112,1
113,0
114,0
115,1
116,1
117,1
118,1
119,1
120,0
121,1
122,1
123,1
124,1
125,1
126,1
127,1
128,1
129,1
130,1
131,0
132,1
133,0
134,0
135,1
136,1
137,0
138,1
139,1
140,0
141,1
142,1
143,1
144,0
145,1
146,1
147,0
148,0
149,1
150,1
151,0
152,1
153,0
154,0
155,1
156,0
157,1
158,0
159,1
160,1
161,0
162,1
163,1
164,0
165,1
166,1
167,0
168,0
169,1
170,0
171,1
172,1
173,1
174,1
175,1
176,0
177,0
178,1
179,1
180,0
181,1
182,0
183,1
184,0
185,1
186,0
187,0
188,1
189,0
190,1
191,0
192,1
193,0
194,1
195,0
196,0
197,0
198,1
199,1
200,1
201,1
202,1
203,1
204,1
205,1
206,1
207,0
208,1
209,1
210,1
211,1
212,1
213,1
214,0
215,1
216,0
217,0
218,1
219,0
220,1
221,1
222,0
223,1
224,0
225,1
226,1
227,1
228,1
229,0
230,1
231,0
232,1
233,1
234,0
235,0
236,1
237,0
238,0
239,1
240,0
241,1
242,0
243,0
244,0
245,1
246,0
247,0
248,1
249,1
250,0
251,1
252,1
253,0
254,0
255,1
256,1
257,1
258,1
259,1
260,1
261,1
262,0
263,1
264,0
265,1
266,1
267,0
268,1
269,0
270,1
271,1
272,1
273,0
274,1
275,1
276,1
277,1
278,1
279,1
280,0
281,1
282,1
283,1
284,1
285,1
286,0
287,1
288,1
289,1
290,1
291,0
292,0
293,1
294,0
295,0
296,1
297,1
298,0
299,1
300,1
301,1
302,0
303,0
304,0
305,1
306,1
307,0
308,0
309,0
310,0
311,1
312,0
313,0
314,0
315,1
316,1
317,1
318,1
319,0
320,0
321,1
322,1
323,1
324,1
325,0
326,0
327,1
328,1
329,1
330,1
331,1
332,0
333,0
334,1
335,1
336,1
337,1
338,0
339,1
340,0
341,1
342,0
343,1
344,1
345,1
346,0
347,1
348,0
349,0
350,1
351,1
352,1
353,0
354,1
355,1
356,1
357,0
358,0
359,1
360,1
361,1
362,1
363,0
364,0
365,1
366,1
367,0
368,1
369,1
370,1
371,0
372,0
373,1
374,1
375,1
376,1
377,0
378,1
379,0
380,1
381,1
382,0
383,0
384,1
385,1
386,0
387,0
388,0
389,1
390,1
391,0
392,0
393,0
394,0
395,1
396,1
397,0
398,0
399,0
400,1
401,0
402,1
403,1
404,1
405,0
406,0
407,1
408,0
409,1
410,0
411,1
412,0
413,1
414,0
415,1
416,1
417,0
418,1
419,1
420,0
421,1
422,0
423,1
424,0
425,1
426,0
427,0
428,1
429,0
430,0
431,1
432,1
433,0
434,0
435,1
436,0
437,1
438,0
439,1
440,0
441,0
442,0
443,1
444,1
445,0
446,1
447,1
448,1
449,0
450,1
451,1
452,1
453,0
454,1
455,0
456,1
457,0
458,1
459,0
460,0
461,1
462,0
463,0
464,1
465,1
466,0
467,0
468,1
469,0
470,1
471,0
472,1
473,0
474,0
475,0
476,1
477,1
478,0
479,1
480,1
481,1
482,0
483,1
484,1
485,1
486,1
487,0
488,1
489,0
490,0
491,1
492,1
493,0
494,1
495,0
496,1
497,1
498,0
499,1
500,0
501,1
502,0
503,1
504,0
505,1
506,0
507,0
508,1
509,0
510,0
511,1
512,0
513,0
514,1
515,1
516,1
517,0
518,0
519,0
520,0
521,0
522,0
523,0
524,1
525,0
526,1
527,1
528,1
529,1
