row_id,cluster_label
0,-1
1,4
2,4
3,-1
4,5
5,4
6,-1
7,1
8,-1
9,3
10,-1
11,0
12,-1
13,3
14,-1
15,-1
16,5
17,-1
18,5
19,4
20,-1
21,0
22,4
23,-1
24,-1
25,0
26,5
27,1
28,3
29,-1
30,1
31,-1
32,3
33,-1
34,1
35,-1
36,-1
37,1
38,4
39,-1
40,-1
41,3
42,4
43,-1
44,-1
45,-1
46,3
47,-1
48,-1
49,-1
50,3
51,4
52,1
53,-1
54,3
55,-1
56,-1
57,3
58,-1
59,-1
60,-1
61,4
62,-1
63,3
64,0
65,3
66,3
67,-1
68,-1
69,0
70,4
71,1
72,-1
73,0
74,-1
75,1
76,0
77,4
78,-1
79,0
80,3
81,-1
82,-1
83,3
84,1
85,-1
86,4
87,4
88,-1
89,0
90,-1
91,-1
92,3
93,1
94,3
95,-1
96,4
97,-1
98,-1
99,-1
100,-1
101,0
102,-1
103,5
104,1
105,5
106,0
107,0
108,3
109,5
110,1
111,-1
112,4
113,-1
114,0
115,1
116,4
117,1
118,5
119,-1
120,0
121,5
122,-1
123,-1
124,-1
125,-1
126,-1
127,-1
128,5
129,3
130,5
131,-1
132,-1
133,-1
134,-1
135,-1
136,-1
137,-1
138,-1
139,-1
140,-1
141,-1
142,-1
143,-1
144,-1
145,-1
146,-1
147,-1
148,3
149,-1
150,-1
151,-1
152,-1
153,-1
154,5
155,0
156,3
157,-1
158,-1
159,4
160,-1
161,3
162,-1
163,1
164,0
165,-1
166,-1
167,-1
168,-1
169,-1
170,0
171,-1
172,-1
173,4
174,1
175,4
176,1
177,0
178,-1
179,1
180,-1
181,5
182,-1
183,1
184,-1
185,5
186,3
187,3
188,-1
189,0
190,-1
191,-1
192,-1
193,-1
194,1
195,3
196,-1
197,0
198,-1
199,4
200,-1
201,-1
202,-1
203,1
204,-1
205,-1
206,-1
207,3
208,4
209,-1
210,4
211,-1
212,-1
213,-1
214,-1
215,-1
216,-1
217,3
218,5
219,3
220,-1
221,-1
222,3
223,4
224,-1
225,4
226,1
227,-1
228,4
229,-1
230,-1
231,3
232,1
233,5
234,-1
235,4
236,4
237,-1
238,-1
239,2
240,-1
241,-1
242,2
243,2
244,2
245,2
246,-1
247,-1
248,-1
249,2
250,1
251,2
252,2
253,-1
254,-1
255,2
256,-1
257,1
258,2
259,-1
260,-1
261,2
262,-1
263,2
264,3
265,4
266,2
267,-1
268,-1
269,-1
270,0
271,2
272,-1
273,-1
274,-1
275,-1
276,-1
277,-1
278,4
279,2
280,-1
281,2
282,-1
283,4
284,0
285,1
286,-1
287,4
288,1
289,-1
290,2
291,-1
292,1
293,2
294,1
295,0
296,-1
297,2
298,-1
299,2
300,2
301,1
302,-1
303,-1
304,2
305,-1
306,-1
307,-1
308,2
309,2
310,-1
311,2
312,2
313,-1
314,-1
315,-1
316,2
317,-1
318,2
319,1
320,2
321,-1
322,5
323,-1
324,4
325,-1
326,5
327,-1
328,-1
329,1
330,-1
331,-1
332,-1
333,3
334,-1
335,1
336,4
337,4
338,-1
339,-1
340,-1
341,-1
342,-1
343,-1
344,1
345,5
346,0
347,-1
348,-1
349,-1
350,4
351,5
352,0
353,-1
354,-1
355,5
356,-1
357,-1
358,3
359,-1
360,-1
361,-1
362,4
363,-1
364,-1
365,-1
366,-1
367,3
368,-1
369,-1
370,4
371,-1
372,3
373,5
374,-1
375,0
376,-1
377,-1
378,-1
379,-1
380,5
381,-1
382,3
383,-1
384,-1
385,-1
386,1
387,3
388,-1
389,4
390,-1
391,-1
392,3
393,-1
394,-1
395,0
396,1
397,-1
398,-1
399,-1
400,4
401,0
402,-1
403,5
404,-1
405,3
406,3
407,-1
408,-1
409,-1
410,3
411,-1
412,-1
413,-1
414,3
415,-1
416,-1
417,-1
418,-1
419,-1
420,0
421,0
422,0
423,-1
424,-1
425,-1
426,-1
427,0
428,0
429,0
430,0
431,0
432,0
433,3
434,0
435,0
436,-1
437,0
438,0
439,-1
440,0
441,-1
442,0
443,-1
444,0
445,0
446,0
447,0
448,0
449,-1
450,0
451,0
452,0
453,0
454,0
455,0
456,-1
457,3
458,-1
459,-1
460,0
461,0
462,0
463,0
464,0
465,0
466,3
467,0
468,0
469,-1
470,0
471,0
472,-1
473,0
474,-1
475,0
476,4
477,0
478,0
479,0
480,0
481,0
482,-1
483,0
484,-1
485,0
486,0
487,0
488,0
489,0
490,3
491,-1
492,-1
493,0
494,-1
495,-1
496,-1
497,0
498,0
499,-1
500,0
501,0
502,3
503,0
504,0
505,0
506,0
507,0
508,-1
509,0
510,0
511,0
512,3
513,0
514,-1
515,4
516,1
517,0
518,0
519,0
520,0
521,-1
522,0
523,-1
524,-1
525,0
526,0
527,-1
528,-1
529,0
